n,t,v
52403,1746.7666666666667,8333
52404,1746.8,8334
52405,1746.8333333333333,8335
52406,1746.8666666666668,8337
52407,1746.9,8338
52408,1746.9333333333332,8339
52409,1746.9666666666667,8340
52410,1747.0,8341
52411,1747.0333333333333,8342
52412,1747.0666666666668,8343
52413,1747.1,8344
52414,1747.1333333333332,8345
52415,1747.1666666666667,8347
52416,1747.2,8348
52417,1747.2333333333333,8349
52418,1747.2666666666667,8350
52419,1747.3,8351
52420,1747.3333333333333,8352
52421,1747.3666666666668,8353
52422,1747.4,8354
52423,1747.4333333333332,8355
52424,1747.4666666666667,8357
52425,1747.5,8358
52426,1747.5333333333333,8360
52427,1747.5666666666668,8361
52428,1747.6,8362
52429,1747.6333333333332,8363
52430,1747.6666666666667,8365
52431,1747.7,8366
52432,1747.7333333333333,8367
52433,1747.7666666666667,8369
52434,1747.8,8370
52435,1747.8333333333333,8371
52436,1747.8666666666668,8373
52437,1747.9,8374
52438,1747.9333333333332,8375
52439,1747.9666666666667,8376
52440,1748.0,8377
52441,1748.0333333333333,8378
52442,1748.0666666666668,8380
52443,1748.1,8381
52444,1748.1333333333332,8382
52445,1748.1666666666667,8383
52446,1748.2,8384
52447,1748.2333333333333,8385
52448,1748.2666666666667,8385
52449,1748.3,8386
52450,1748.3333333333333,8387
52451,1748.3666666666668,8389
52452,1748.4,8390
52453,1748.4333333333332,8391
52454,1748.4666666666667,8392
52455,1748.5,8393
52456,1748.5333333333333,8395
52457,1748.5666666666668,8396
52458,1748.6,8397
52459,1748.6333333333332,8398
52460,1748.6666666666667,8399
52461,1748.7,8401
52462,1748.7333333333333,8402
52463,1748.7666666666667,8403
52464,1748.8,8404
52465,1748.8333333333333,8405
52466,1748.8666666666668,8406
52467,1748.9,8407
52468,1748.9333333333332,8408
52469,1748.9666666666667,8410
52470,1749.0,8412
52471,1749.0333333333333,8413
52472,1749.0666666666668,8414
52473,1749.1,8416
52474,1749.1333333333332,8417
52475,1749.1666666666667,8418
52476,1749.2,8420
52477,1749.2333333333333,8421
52478,1749.2666666666667,8422
52479,1749.3,8424
52480,1749.3333333333333,8425
52481,1749.3666666666668,8426
52482,1749.4,8427
52483,1749.4333333333332,8428
52484,1749.4666666666667,8429
52485,1749.5,8430
52486,1749.5333333333333,8431
52487,1749.5666666666668,8433
52488,1749.6,8434
52489,1749.6333333333332,8436
52490,1749.6666666666667,8437
52491,1749.7,8438
52492,1749.7333333333333,8439
52493,1749.7666666666667,8441
52494,1749.8,8442
52495,1749.8333333333333,8443
52496,1749.8666666666668,8445
52497,1749.9,8446
52498,1749.9333333333332,8447
52499,1749.9666666666667,8449
52500,1750.0,8450
52501,1750.0333333333333,8451
52502,1750.0666666666668,8452
52503,1750.1,8453
52504,1750.1333333333332,8454
52505,1750.1666666666667,8456
52506,1750.2,8457
52507,1750.2333333333333,8458
