n,t,h
42328,1410.9333333333332,13
42329,1410.9666666666667,13
42330,1411.0,13
42331,1411.0333333333333,13
42332,1411.0666666666668,13
42333,1411.1,13
42334,1411.1333333333332,13
42335,1411.1666666666667,13
42336,1411.2,13
42337,1411.2333333333333,13
42338,1411.2666666666667,13
42339,1411.3,13
42340,1411.3333333333333,13
42341,1411.3666666666668,13
42342,1411.4,13
42343,1411.4333333333332,13
42344,1411.4666666666667,13
42345,1411.5,13
42346,1411.5333333333333,13
42347,1411.5666666666668,13
42348,1411.6,13
42349,1411.6333333333332,13
42350,1411.6666666666667,14
42351,1411.7,14
42352,1411.7333333333333,14
42353,1411.7666666666667,14
42354,1411.8,14
42355,1411.8333333333333,14
42356,1411.8666666666668,14
42357,1411.9,14
42358,1411.9333333333332,14
42359,1411.9666666666667,14
42360,1412.0,14
42361,1412.0333333333333,14
42362,1412.0666666666668,14
42363,1412.1,14
42364,1412.1333333333332,14
42365,1412.1666666666667,14
42366,1412.2,14
42367,1412.2333333333333,14
42368,1412.2666666666667,14
42369,1412.3,14
42370,1412.3333333333333,14
42371,1412.3666666666668,14
42372,1412.4,14
42373,1412.4333333333332,14
42374,1412.4666666666667,14
42375,1412.5,14
42376,1412.5333333333333,14
42377,1412.5666666666668,15
42378,1412.6,15
42379,1412.6333333333332,15
42380,1412.6666666666667,15
42381,1412.7,15
42382,1412.7333333333333,15
42383,1412.7666666666667,15
42384,1412.8,15
42385,1412.8333333333333,15
42386,1412.8666666666668,15
42387,1412.9,15
42388,1412.9333333333332,15
42389,1412.9666666666667,15
42390,1413.0,15
42391,1413.0333333333333,15
42392,1413.0666666666668,15
42393,1413.1,15
42394,1413.1333333333332,15
42395,1413.1666666666667,15
42396,1413.2,15
42397,1413.2333333333333,15
42398,1413.2666666666667,15
42399,1413.3,15
42400,1413.3333333333333,15
42401,1413.3666666666668,15
42402,1413.4,15
42403,1413.4333333333332,15
42404,1413.4666666666667,15
42405,1413.5,16
42406,1413.5333333333333,16
42407,1413.5666666666668,16
42408,1413.6,16
42409,1413.6333333333332,16
42410,1413.6666666666667,16
42411,1413.7,16
42412,1413.7333333333333,16
42413,1413.7666666666667,16
42414,1413.8,16
42415,1413.8333333333333,16
42416,1413.8666666666668,16
42417,1413.9,16
42418,1413.9333333333332,16
42419,1413.9666666666667,16
42420,1414.0,16
42421,1414.0333333333333,16
42422,1414.0666666666668,16
42423,1414.1,16
42424,1414.1333333333332,16
42425,1414.1666666666667,16
42426,1414.2,16
42427,1414.2333333333333,16
42428,1414.2666666666667,16
42429,1414.3,17
42430,1414.3333333333333,17
42431,1414.3666666666668,17
42432,1414.4,17
42433,1414.4333333333332,17
42434,1414.4666666666667,17
42435,1414.5,17
42436,1414.5333333333333,17
42437,1414.5666666666668,17
42438,1414.6,17
42439,1414.6333333333332,17
42440,1414.6666666666667,17
42441,1414.7,17
42442,1414.7333333333333,17
42443,1414.7666666666667,17
42444,1414.8,17
42445,1414.8333333333333,17
42446,1414.8666666666668,17
42447,1414.9,17
42448,1414.9333333333332,17
42449,1414.9666666666667,17
42450,1415.0,17
42451,1415.0333333333333,17
42452,1415.0666666666668,17
42453,1415.1,17
42454,1415.1333333333332,17
42455,1415.1666666666667,18
42456,1415.2,18
42457,1415.2333333333333,18
42458,1415.2666666666667,18
42459,1415.3,18
42460,1415.3333333333333,18
42461,1415.3666666666668,18
42462,1415.4,18
42463,1415.4333333333332,18
42464,1415.4666666666667,18
42465,1415.5,18
42466,1415.5333333333333,18
42467,1415.5666666666668,18
42468,1415.6,18
42469,1415.6333333333332,18
42470,1415.6666666666667,18
42471,1415.7,18
42472,1415.7333333333333,18
42473,1415.7666666666667,18
42474,1415.8,18
42475,1415.8333333333333,18
42476,1415.8666666666668,18
42477,1415.9,18
42478,1415.9333333333332,18
42479,1415.9666666666667,18
42480,1416.0,19
42481,1416.0333333333333,19
42482,1416.0666666666668,19
42483,1416.1,19
42484,1416.1333333333332,19
42485,1416.1666666666667,19
42486,1416.2,19
42487,1416.2333333333333,19
42488,1416.2666666666667,19
42489,1416.3,19
42490,1416.3333333333333,19
42491,1416.3666666666668,19
42492,1416.4,19
42493,1416.4333333333332,19
42494,1416.4666666666667,19
42495,1416.5,19
42496,1416.5333333333333,19
42497,1416.5666666666668,19
42498,1416.6,19
42499,1416.6333333333332,19
42500,1416.6666666666667,19
42501,1416.7,19
42502,1416.7333333333333,19
42503,1416.7666666666667,20
42504,1416.8,20
42505,1416.8333333333333,20
42506,1416.8666666666668,20
42507,1416.9,20
42508,1416.9333333333332,20
42509,1416.9666666666667,20
42510,1417.0,20
